id,episode_number,nisioleto_name,episode_title,description,latitude,longitude,instagram_url
11,11,CALLE MORANDI,Viva Gianni 👨‍🎤,"La Calle Morandi deve il suo nome alla famiglia Morandi, che qui abitava, di origine bergamasca, trasferitasi a Venezia intorno al 1600 come commercianti di seta presso il Fondaco dei Tedeschi.",45.441150,12.339702,https://www.instagram.com/p/CXZT-Aej6Yr/
12,12,CAMPO S.TA GIUSTINA,Giusto? 🤔,In questo campo si affaccia la chiesa di Santa Giustina.,45.437980,12.346338,https://www.instagram.com/p/CXecmq8j6zH/
13,13,CALLE MAGNO,Ah eh ah 😋,"Questa calle deve il nome all'omonimo palazzo, costruito dalla famiglia Magno che, trasferitasi da Oderzo nel 598 (o 905), produsse tribuni.",45.436285,12.348704,https://www.instagram.com/reel/CXmLZTmjxBM/
14,14,CAMPO DEI MIRACOLI,Magia 🔮,"Il ponte dei miracoli deve il suo nome, come la calle e il campo vicini, ai poteri miracolosi di una immagina della Madonna a cui accorrevano molte persone. Siamo alla fine del 1400. Data la fama dell'immagine, si costruì una chiesa in cui ci collocò la sacra immagine.",45.439330,12.339142,https://www.instagram.com/reel/CXrU6MTDp2V/
15,15,RAMO DEL VIN,Cin Cin! 🍷,Il ramo del vino ci ricorda uno dei punti di Venezia in cui le barche approdavano per scaricare le botte di vino. Molto probabilmente c'erano anche dei negozi che poi lo vendevano.,45.434471,12.342311,https://www.instagram.com/reel/CXwiMK5j2fT/
16,16,FONDAMENTA DEL CRISTO,Xe Nadal 🎄,BUON CHRIST-MAS A TUTTI 🎉,45.437424,12.349018,https://www.instagram.com/reel/CX4M6XNIFuL/
17,17,CALLE STELLA,Un Due Tre ⭐️,"Semplicemente, nella calle Stella si trovava il palazzo in cui viveva la nobile famiglia Stella.",45.441514,12.340664,https://www.instagram.com/reel/CX9WVpSIw_e/
18,18,CORTE DE LA GRANA,Rosso Veneziano 🤑,"“Grana di Chermes” è la femmina di un insetto che vive in Spagna e che, seccato, fornisce una materia colorante di rosso, il cosiddetto scarlato veneziano, che qui veniva prodotto. Altra testimonainza sostiene che qui ci fosse la casa del sig. Grana, custode della scuola di san Giovanni evangelista.",45.435392,12.348439,https://www.instagram.com/reel/CYCgKvboKLZ/
19,19,SOTOPORTEGO DEI BOMBARDIERI,Botti di Capodanno 💣,"Nel terreno in cui si trova questo sottoportico erano state edificate le case della confraternita dei Bombardieri, addetti per le repubblica alla fabbricazione di un'arma chiamata bombarda.",45.437177,12.347258,https://www.instagram.com/reel/CYKLKYCIgUn/
20,20,CALLE DE LE BANDE,Che stazione? 📻,"La calle delle Bande conduce al ponte delle Bande, considerato il primo ponte a Venezia a cui sono stati collocati i parapetti, in veneziano bande.",45.436836,12.340509,https://www.instagram.com/reel/CYUh-3QI-Ys/
21,21,CALLE CAVALLI,Samarcanda 🐎,"Questa calle, come in tanti altri casi, prende il nome dalla presenza del palazzo della nobile famiglia Cavalli. Ci sono altre calli Cavalli in Venezia, in quanto questo cognome era di uso comune.",45.438622,12.345654,https://www.instagram.com/reel/CYcPXSpI6PF/
22,22,FONDAMENTA S. SEVERO,Ma stai calmo… 😤,"Ponte, rio, fondamenta e campo San Severo prendono il nome dall'omonima chiesa che in queste zone sorgeva, distrutta nel 1829.",45.436237,12.343300,https://www.instagram.com/reel/CYmjtBzo1n9/
23,23,SOTOPORTEGO DE LE COLONE,Che forza! 💪,"Il sottoportico delle colonne aveva la caratteristica di avere delle colonne visibili che sostenevano alcune case. In alcune zone di Venezia si possono ancora ammirare queste colonne. La citazione biblica richiama l'episodio in cui Sansone, legato tra due colonne e recuperate le forze con la crescita dei capelli, fece morire in un sol colpo i filistei.",45.431115,12.353237,https://www.instagram.com/reel/CYuRRf_omvj/
24,24,CALLE DE L'OGIO,Attenzione! 🪔,"Come tante calli che portano il nome di un prodotto, in questa calle si vendeva olio.",45.436853,12.347529,https://www.instagram.com/reel/CY4n-Rsormo/
25,25,CALLE MORETTI,Bonaaa 🍻,"Cognome frequente in Venezia (anche Moretta), in questa calle abitava la famiglia Moretti.",45.440522,12.339027,https://www.instagram.com/reel/CZATASaIaOC/
26,26,RAMO DEL FIGO,Che bello! 😎,"Figo è riferito alla presenza, nei dintorni della calle, di alberi di fichi. È possibile anche trovare il ramo del Fico (o figher, termine tipico veneziano per indicare l'albero di fichi).",45.441598,12.340374,https://www.instagram.com/reel/CZKnV4zolvA/
27,Extra,FONDAMENTA NANI,Forza Leoni! 🦁🟠⚫️🟢,"Un omaggio dal @elnisioeto al nuovo acquisto del Venezia @luisnani. Comunque, per dovere di cronaca, in questa fondamenta sorgeva l'abitazione della famiglia Nani.",45.429701,12.325755,https://www.instagram.com/reel/CZOyd-tolS1/
28,27,CORTE DEI PALI GIA' TESTORI,Mani in alto! 🔫,"Si pensa che tale Calle dei pali fosse anticamente dei palii, e quindi indicasse il luogo dove i tessitori producevano i palii di seta. Più verosimilmente qui abitavano le famiglie Pali e Testori.",45.441410,12.333973,https://www.instagram.com/reel/CZcnpB-IP0a/
29,28,CAMPO S. MARINA,Che bella mora 👩,"In questo campo sorgeva una chiesa, dedicata nel 1200 a santa Marina una volta traslato il suo corpo qui. Distrutta nel 1820 dopo che per 2 anni era diventata un'osteria, dove risuonavano le urla “un bocal al Santissimo” o “un bocal a la Madona” in base all'altare in cui si beveva.",45.43840583409859,12.33931339252495,https://www.instagram.com/reel/CZmGR8ru2Ur/
30,Extra,CALLE CANAL,Mona Importante 🤳,"Luogo ove sorge il palazzo in cui abitava la nobile famiglia Canal, iscritta al veneto patriziato nel secolo XIII.",45.439020,12.323513,https://www.instagram.com/reel/CZuo5dzAa39/
31,29,CORTE CORTESE,Gentilezza 😊,"Corte Cortese sorgeva nella zona chiamata Corte, da qui l'origine di Cortese. Si attesta però anche che nel 1514 quivi abitava tal Nicolò Cortese. Quindi la denominazione è incerta.",45.440879,12.341269,https://www.instagram.com/reel/CZ2W9d3Db14/
32,Extra,CAMPIELLO DIEDO,Buon San Valentino ❤️,"Pur approfittando del cambio di nome sul nisioeto per ridere un po', non possiamo non denunciare l'imbrattamento, che per quanto piccolo non si addice alla splendida e importante tradizione dei nisioeti. Infatti, questo nisieoto sarebbe “campiello Diedo”, e ricorda che in questa zona abitava la famiglia Diedo, giunta qui a Venezia da Altino nel 790, famiglia importante per alcune operazioni militari della Serenissima.","45.44351654017445,",12.332123310420222,https://www.instagram.com/reel/CaAtISIFLYn/
33,30,CALLE DEL VOLTO,Girati! 💆‍♂️,"Incerta è l'origine di questo nome. Probabilmente alcune case erano collegate (per motivi di stabilità) da degli archi, detti anche volti. Essendocene solo uno, allora volto.",45.441743,12.339987,https://www.instagram.com/reel/CaQE-nDtVtY/
34,31,CALLE DEL ERBE,Roba buona 🌿,In questo luogo si trovavano degli stazii d'erbaggi. Da qui le denominazione de le erbe.,45.438952,12.340373,https://www.instagram.com/reel/CaiGtlZg0q5/
35,32,CALLE VECHIA,Questione di età 👵,"Calle chiamata così per via di un ospedale per vecchi marinai che a pochi passi da qui sorgeva, eretto nel 1474. Più probabile invece che sia una delle calli più antiche della zona, anche in riferimento a calli formate in tempi posteriori.",45.444521,12.333762,https://www.instagram.com/reel/CasaxDWpkY4/
36,33,SOTOPORTEGO DEL CAVALETTO,Come un pittore 🖌,"Tale nome è stato preso da un'osteria, che qui si trovava. Probabilmente, è una delle più antiche di Venezia (1308).",45.434273,12.337297,https://www.instagram.com/reel/Ca5WHQ1g9rk/
37,34,CALLE DEI MELONI,"1 Chilo, grazie 🥭🥝","Come accadeva per i nomi di altre calli, in questa si vendevano i meloni (anticamente chiamano poponi).",45.44074384822417,12.341195501505847,https://www.instagram.com/reel/CbGPbwGAuV_/
38,35,FONDAMENTA ZEN,Distensione 🏛,"Il palazzo Zen ai Gesuiti sorse nel secondo XVI sull'area forse d'una fabbrica più antica, appartenente alla famiglia medesima.",45.442952884529376,12.33765672354458,https://www.instagram.com/reel/CbQe9o5LQvs/
39,Extra,PIAZZA SAN MARCO,San Marco 🦁,"In tono simpatico, ci chiediamo, caro @comunevenezia , ma un nizioleto in piazza San Marco?L'unica piazza di Venezia. Una delle più famose piazze del mondo. Orgogliosi di viverla.",45.433964,12.338020,https://www.instagram.com/reel/CbaxMdeu7lg/
40,36,CALLE DEL RIDOTTO,Scontato 🎫,"Già dal 1200, nel palazzo che si affaccia in Canal Grande, molti nobili erano soliti ritrovarsi per giochi di sorte l'ora prima della notte; da qui il nome di ridotto.",45.433154,12.336402,https://www.instagram.com/reel/CbifDv2Lu3j/
41,37,CALLE DEL ?,Copione dimenticato? 😶,Nizioleto ancora da scrivere. Cosa ci scriveresti tu?Scrivilo nei commenti!!!,45.433489,12.348300,https://www.instagram.com/reel/CbvO5GVjFzf/
42,38,CALLE DEI CESSI,Brutti 🚾,"Nizioleto nato nel 2021, che indica che al termine della calle ci sono dei bagni.",45.431531,12.354234,https://www.instagram.com/reel/Cb8GQbhgGjd/
43,39,CALLE DEI BALLONI,Bomber ⚽️,Questa località è chiamata così per via di un venditore di balloni (palloni) che qui anticamente stanziava.,45.435057,12.338588,https://www.instagram.com/reel/CcGbK9fL9GG/
44,40,RAMO DE L'ANZOLO,Missione 😇,Questo ramo prende il nome da una scultura che raffigura un angelo che si trova sulla facciata del vicino palazzo Soranzo.,45.4357047788246,12.340222651572185,https://www.instagram.com/reel/CceschBKd1Q/
45,41,CALLE DEL FUMO,Divieto? 🚫,"Sorgeva un questa calle una fabbrica di negrofumo, pigmento utilizzato per svariate lavorazioni.",45.44179001458318,12.340377167724153,https://www.instagram.com/reel/Ccqfeg3rcON/
46,42,RAMO ORFEI,Circo 🎪,"Ramo che porta all'ingresso di palazzo Pesaro, anticamente sede della società degli Orfei, cioè di coloro che erano dediti a coltivare la musica.",45.43527945773776,12.332347433058471,https://www.instagram.com/reel/Cc3Z1qbl5il/
47,43,CORTE COPPO,Troppo vento 🌬,"Fin dal XIII sec, corte abitata dalla famiglia Coppo.",45.43592383239272,12.345435568772567,https://www.instagram.com/reel/CdEQpxDsqQ1/
48,44,SESTIERE DI DORSODURO,Robusto 🏋‍♂️,"Tra le varie origini del nome di questo sestriere, la più accreditata fa riferimento al suo terreno che si elevava sul circostante a mo' di dorso o schiena, e nel medesimo tempo sodo e consistente.",45.429486,12.327878,https://www.instagram.com/reel/CdOis3UjKzH/
49,45,CAMPIELLO S. VIDAL,Doccia 🚿,Dal nome della chiesa (san Vitale) fatta edificare nel 1084 dal doge Vitale Falier.,45.432274,12.329627,https://www.instagram.com/reel/CdbaAtcLn1v/
50,46,CALLE DE LA MADONA,Spettacolo 😲,"Come probabilmente tutte le denominazioni “de la Madonna” della città, si fa riferimento alla presenza di una immagine devota di Maria, dipinta o scolpita.",45.43794476400487,12.335023467723893,https://www.instagram.com/reel/CdoTaoSjh5c/
51,47,CALLE DE LA TESTA,Scommessa 🧐,"Il nome di questa calle deriva da una smisurata testa di marmo, che si vede innestata al muro, avanzo per certo di più antichi edifici.",45.439999,12.340791,https://www.instagram.com/reel/CdymiYTJmh_/
52,48,CORTE DEL TEATRO,Attori 🎭,"Calle, ramo e corte del teatro fanno riferimento al teatro di San Luca, eretto in questa zona nel 1622. Attualmente troviamo il teatro Goldoni.",45.439049,12.337721,https://www.instagram.com/reel/Cd_dzeks6cC/
53,49,CALLE LARGE DEL ASCENSION,Catechismo ✝️,"Anticamente qui sorgeva la chiesa dell'Ascensione, chiusa nel 1810 e distrutta del 1824.",45.433502,12.337118,https://www.instagram.com/reel/CeG75G9q9WY/
54,50,CALLE DE LE CARROZZE,Mozzarella 😋,Calle in cui si trovava una fabbrica di carrozze (che le produceva per la terraferma).,45.43395563130683,12.328517265872234,https://www.instagram.com/reel/CeO6I_zDRuw/
55,51,RIVA DEL FERRO,Muscoli 💪,"Riva del ferro si chiamò così dal 1300 circa, periodo in cui, dopo alterne vicende, si decise che il ferro andava venduto in questa riva, il vino nella riva di fronte (che si chiama riva del vino).Prima del 1300 esisteva in questa riva un palazzo vetusto usato come zecca. Il nome potrebbe derivare anche dalla presenza di questo palazzo.",45.43762052348381,12.335625181216088,https://www.instagram.com/reel/CeWp352JE4U/
56,52,CALLE LARGA DEI PROVERBI,Saggezza popolare 🦉,"Calle che prende il nome da due proverbi che si leggevano sulle cornici di due balconi: “Chi semina spine non vadi descalzo”, “Dì de ti, e poi di me dirai”.",45.4410190131415,12.337130862783903,https://www.instagram.com/reel/Cejk0IFrd5f/
57,53,RAMO DE LA CARITA',Il prossimo 🤲,In questa zona la confraternita della Carità possedeva alcune case.,45.441911,12.340083,https://www.instagram.com/reel/Cewb8YDsg6M/
58,54,RIVA DEL CARBON,Cattivo 🧦,"Sulla riva del carbon, fino a poco tempo fa, si faceva spaccio di questo prezioso combustibile.",45.43686893863083,12.33428719470829,https://www.instagram.com/reel/Ce6rtAUMJpf/
59,55,RIO TERA' DEGLI ASSASSINI,Omicidio 🔫,"Calle in cui anticamente avvenivano frequenti assassinii. Per questo, dal 1128, fu proibito l'uso di barbe finte, con cui solitamente i malviventi coprivano il volto per non farsi riconoscere.",45.434749,12.333323,https://www.instagram.com/reel/CfHknlPJbg8/
60,56,CORTE DE LE CANDELE,Non si accende 🕯,In questa corte c'era una fabbrica di candele.,45.443206,12.337975,https://www.instagram.com/reel/CfUlgfJMrYF/
61,57,CALLE DEI CONSORTI,Sposati? 🤵👰,Questa calle prese il nome da stabili che le monache di Santa Caterina possedevano in consorzio con la famiglia Catena.,45.443893,12.338415,https://www.instagram.com/reel/CfrTZHlKCAk/
62,58,CALLE DE LE BALOTTE,Rottura 😫,"In questa calle si fabbricavano e si vendevano le “ballotte”, che servivano nelle votazioni. Inizialmente in cera, vennero dal 1300 fabbricate in lino. Da qui nasce anche il termine ballottaggio.",45.436392339902504,12.336953681216036,https://www.instagram.com/reel/Cf60Xq7qVm6/
63,59,CALLE DEI CORDONI,New Game ⭕️,"In questa calle si fabbrivano cordoni, l'arte è quella dei Passamaneri. Nel 1773 si contavano 205 telai in lavoro, 153 senza, 42 botteghe, 55 capi mastri, 36 lavoranti e 4 garzoni.",45.442488,12.340549,https://www.instagram.com/reel/CgPCbstqXvT/
64,60,CAMPO S.S. APOSTOLI,Cena a tradimento 👤,"Luogo dove sorge la chiesa dei Santi Apostoli, voluta da San Magno dopo che gli apparirono in visione i 12 apostoli chiedendo di innalzare un tempio in loro onore.",45.44042968976866,12.336633402615409,https://www.instagram.com/reel/Cgd3R4GKxMx/
65,61,CALLE DEI LEGNAMI,Lavoro di squadra ⚒️,"Questo terreno, a partire dal XVII sec., era adibito al deposito di legnami.",45.443689,12.338381,https://www.instagram.com/reel/CgwVdJ7p998/
66,62,CORTE DE LA TERRAZZA,Panorama 🏙,"Corte in cui si trova un terrazzo scoperto, ancora esistente.",45.438664,12.343453,https://www.instagram.com/reel/Cg_qXlCsndP/
67,63,CALLE DE LA PIETA',Statuario 🗿,Questa calle prende il nome da alcune case posseduto dall'ospizio della pietà. Esse erano in numero di 16. Tutte le calli della pietà in Venezia ricordano questo ospizio e la sua nascita (quella in san Francesco della Vigna),45.441843,12.339644,https://www.instagram.com/reel/ChMMqBOqH8y/
68,64,RAMO DEL ZIO,Parantela 🌲,Ramo in cui vi era l'abitazione della famiglia Zio (probabilmente derivato da Giglio),45.433364,12.356445,https://www.instagram.com/reel/ChbtNGHqIjc/
69,65,CALLE DE LE CAPPUCCINE,Confusi ☕️,"Così nominata da un convento di monache Servite, dette Cappuccine, che era congiunto alla chiesa di S. Maria del Pianto.",45.439297,12.345436,https://www.instagram.com/reel/ChttQ2itDjL/
70,66,RAMO DEL ZOCCOLO,Calzature 👞,Luogo in cui possedeva degli stabili la famiglia Dal Zoccolo.,45.433186,12.359004,https://www.instagram.com/reel/Ch_s3B8KSJb/
71,67,CALLE CORRENTE,Scarico 🔋,Erano chiamate così quelle calli che portavano ad un punto determinato (es. calle corrente alla Ca' d'Oro).,45.44250465779627,12.335587581216334,https://www.instagram.com/reel/CiSBkVnLZsf/
72,68,CAMPIELLO DELLA COLOMBA,Mago 🧙‍♂️,"Un Salvatore Colombo aveva due case in questo sito, nel 1713.",45.433394,12.356583,https://www.instagram.com/reel/Ciz492Vqsp3/
73,69,CORTE BIANCO,Sonno 😴,Nel XVI sec. abitava in questa corte una famiglia Bianco.,45.433025,12.357635,https://www.instagram.com/reel/CjIh-kaq1x1/
74,70,RIVA DEL VIN,Bevuto? 🍷,Approdavano in questa riva le barche cariche di vino.,45.43774783628563,12.33469349470833,https://www.instagram.com/reel/Cjaj8Bjq5xW/
75,71,SOTOPORTEGO E CALLE DEI CINQUE,Non si può fare 🖐,"Risiedeva in questa calle il Magistrato dei Cinque Anziani, o Provveditori, o Signori alla Pace.",45.43823030679289,12.334478696559907,https://www.instagram.com/reel/Cjs0PRQqjen/
76,72,CALLE DEL PERDON,Scusa 🙇‍♂️,"Nome dovuto all'indulgenza concessa da papa Alessandro III, al suo arrivo a Venezia nel 1177, per la recita di un Pater e Ave presso il vicino altarino sacro alla Vergine.",45.43790252288196,12.332011881216157,https://www.instagram.com/reel/Cj8U0zXqsWq/
77,73,CALLE DEL GAMBARO,Indietro 🔙,Fin dal XV sec. troviamo qui un'osteria con l'insegna “al Gambaro”.,45.43832540655168,12.335005496559909,https://www.instagram.com/reel/CkOCc3uqkHQ/
78,74,CALLE LARGA DE QUINTAVALE,Gita 🏔,"Luogo dove la famiglia Quintavalle, arrivata a San Pietro intorno al 430, edificò le prime case in isola.",45.433236,12.360465,https://www.instagram.com/reel/CkgpxMzrx1e/
79,75,CALLE TIEPOLO,Ritratto 👨‍🎨,"In questa calle si trova il palazzo in cui abitava la famiglia Tiepolo, proveniente da Roma.",45.43686008398774,12.33155925556286,https://www.instagram.com/reel/Ck0vh7WqDgY/
80,76,CALLE DEL SOL,Accecante ☀️,Calle in cui si trovava un'osteria all'insegna del sole.,45.43850721577514,12.332882964222161,https://www.instagram.com/reel/ClHPxPTjjjl/
81,77,CALLE LARGA DE LA DONZELLA,Poesie 📖,"Nel 1740 esisteva un'osteria con l'insegna “la donzella”, condotta da tal Piero De Pieri.",45.43824651865502,12.333256170943294,https://www.instagram.com/reel/ClZRsviriS4/
82,78,CALLE STRETTA,Misure 📏,"La calle larga è più larga di quella stretta, e quella stretta è più stretta di quella larga.",45.434605,12.349410,https://www.instagram.com/reel/Clot9OXsr4m/
83,79,PONTE STORTO,Spingi ↖️,"Ponti così denominati per la loro conformazione, di non essere cioè perpendicolari al corso d'acqua sottostante.",45.438316206574996,12.331823423544286,https://www.instagram.com/reel/Cl6wVtMPif0/
84,Extra,CALLE DE LA STALA,"Buon Natale, di cuore, a tutti ❤️","Di tutto cuore, da parte di tutto il team, buon Natale!",45.443481,12.320830,https://www.instagram.com/reel/CmkYQEPooE4/
85,80,CAMPO S. SILVESTRO,Fine e inizio 🎆,"Campo dove si affaccia la Chiesa di san Silvestro. E con questo, buona fine e buon inizio!",45.437423,12.332891,https://www.instagram.com/reel/Cm0y9pzoe56/
86,81,SOTOPORTEGO STELLA,Doni 🎁,"Qui nel 1713 possedeva due case un «Piero Stella». Anche più anticamente, cioè il 12 novembre 1597, troviamo un «Nicolò fio de m. Isepo Stella», ed il 22 novembre 1630 una «Mattia massera de ca' Stella», fra i defunti della parrocchia di S. Pietro di Castello.",45.433234,12.356698,https://www.instagram.com/reel/CnC24Yxozqk/
87,82,CALLE GALEAZZA,Imbarcazione 🛳,"Questa calle prende il nome da tal Galiazzo frutarol, domiciliato nel 1566 in campo san Bartolomio. La galeazza è la famosa imbarcazione che ha portato in guerra varie volte l'esercito veneziano, in particolare nella ricordata battaglia di Lepanto, dove i veneziani ricordano una gloriosa vittoria contro gli Ottomani.",45.437520980291744,12.336982396559845,https://www.instagram.com/reel/CnU3hN6oqJH/
88,83,RAMO S. DANIEL,Affettato 🍖,"Luogo dove sorse, nell'820, la chiesa di San Daniele, demolita, dopo vari ingrandimenti, nel 1839.",45.434896,12.357326,https://www.instagram.com/reel/Cnm400poQCT/
89,84,CALLE DEL CALICE,Bicchiere 🥛,"Da una bottega all'insegna del «Calice», la quale nella parte anteriore guardava la marzaria.",45.43717183782272,12.336965752380136,https://www.instagram.com/reel/Cn4z349KlWE/
90,85,SOTOPORTEGO DE LE DO SPACE,Duello ⚔️,Già nel 1566 troviamo in questa zona l'osteria delle do spade (con due botteghe opposte).,45.439295,12.333241,https://www.instagram.com/reel/CoK8VNqq5wA/
91,86,CALLE GOLDONI,Ruoli 🎭,"Questa calle, come il vicino ponte e fondamenta, sono dedicati al famoso commediografo veneziano.",45.43536372841703,12.33573748121599,https://www.instagram.com/reel/Coc91AGKp2G/
92,87,SOTOPORTEGO DEI SANTI,Mignolo 🦶,Denominazione dovuta all'abitazione di una famiglia Santo o per una fabbrica di immagini di santi ivi presente.,45.432141,12.352548,https://www.instagram.com/reel/Cou1HiOr-IU/
93,88,CORTE LOREDANA,Concerto 🎤,Qui possedeva varie case nel 1661 la signora Isabetta Loredana.,45.445029,12.329169,https://www.instagram.com/reel/CpAzPsANUAk/
94,89,CALLE DE LE RASSE,Quattro zampe 🐾,"Luogo in cui si faceva spaccio di rascia, o rassa, panno di lana ordinaria con la quale si coprivano le gondole.",45.433858,12.341892,https://www.instagram.com/reel/CpTHuwFqgPe/
95,90,CORTE DE L'ORSO,Non muoverti 🐻,"Dal XIV sec., proveniente da Lucca, abitava in questa zona la famiglia Orso.",45.43810286989919,12.337466829881473,https://www.instagram.com/reel/CpklP7vqSKk/
96,91,CALLE DE LE CASE NOVE,Finalmente 🔑,Case costruite successivamente rispetto alle case attorno.,45.444344,12.327504,https://www.instagram.com/reel/Cp3MmkwK3cX/
97,92,CALLE DEI COLORI,Masegno 🎨,"Calle in cui si trovavano fabbriche per ottenere il verderame, il cinabro, il prussiato di ferro etc.@zaiaufficiale @regioneveneto @viralveneto @visitveneto",45.443437,12.326348,https://www.instagram.com/reel/CqJMZxTqk1d/
98,93,CALLE DEL RABBIA,Insulti 🤬,"Qui abitava, o possedeva stabili, la cittadinesca famiglia Rabbia. Però qualcuno sostiene che è popolar tradizione che questa via traesse il nome dall'avervi infierito più rabbiosamente che in altre vie della contrada la peste una delle varie fiate ch'essa venne a desolare Venezia",45.444115,12.326804,https://www.instagram.com/reel/CqbFYWJq4ZM/
99,94,RIO S. PANTALON,Strati 🩳,"Diverse sono le probabili origine di questo nome. Alcuni vorrebbero che essi fossero così detti per i molti individui che da principio portavano il nome di Pantaleone. Altri per corruzione di “pianta leoni”, solendo i nostri piantare il leone, loro insegna, sopra le città, e terre conquistate. Altri ancora dal pantalon maschera caratteristica veneziana. Aggiungono questi ultimi, che, rappresentando la maschera suddetta un mercadante onesto, ma bonario, e quindi soggetto talvolta agli inganni, si volse coll'andar del tempo il nome di pantalon a titolo di scherno.",45.435485,12.324268,https://www.instagram.com/reel/CqtDei6KY2z/
100,95,RAMO DE LA PAGIA,Scherzetto 😶‍🌫️,Presenza di depositi o negozi di paglia.,45.442979,12.327365,https://www.instagram.com/reel/Cq--LyAKAm9/
101,96,CALLE DE LE SCALE,Giù ↕️,"Da alcune scale semiscoperte, che qui esistevano, e che portavano a misere casucce.",45.43656552789651,12.326865696559802,https://www.instagram.com/reel/CrRNiyNKcgK/
102,97,CAMPO S. MARGHERITA,Sbadato 🍕,"Campo che deve il suo nome alla Chiesa di Santa Margherita, attualmente sconsacrata e con il suo tipico campanile mozzato.",45.433766,12.323218,https://www.instagram.com/reel/CrjIL8bKUEI/
103,98,PISCINA DEL CRISTO,Nuoto 🏊‍♂️,"Come altre strade di questa zona, il nome è dovuto alla Scuola del Cristo, gestita da una confraternita. La Scuola del Cristo si trovava di fronte alla chiesa dei SS. Ermagora e Fortunato (vulgo S. Marcuola).Una delle opere di carità che esercitava era quella di raccogliere i corpi degli annegati non conosciuti, per dar loro onorevole sepoltura.",45.443303108236925,12.328068317570255,https://www.instagram.com/reel/Cr1QrgIqV4h/
